업소명,업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
모닥불,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 729-12,경기도 가평군 북면 화악리 708-1번지,,1,,,,,,37.9333453,127.5550999,2021-06-09
스머프 하우스,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로371번길 89,경기도 가평군 조종면 신상리 262-1번지,,1,,,,,,37.85180959,127.3484321,2021-06-09
가평 이한 별장,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 175,경기도 가평군 청평면 상천리 1076-10번지,,1,,,,,,37.77902718,127.4360097,2021-06-09
테라스엔 별이3,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 279-9,경기도 가평군 상면 행현리 533번지,,1,,,,,,37.75368086,127.3613921,2021-06-09
오페라 레이크 사이드,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 262-21,경기도 가평군 청평면 고성리 66-4번지,,3,,,,,,37.70273689,127.5160181,2021-06-09
이모네 민박,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1097,경기도 가평군 가평읍 달전리 210-1번지,,6,,,,,,37.81000274,127.5228349,2021-06-09
힐링마인드,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 13-14,경기도 가평군 청평면 고성리 414-3번지,,5,,,,,,37.71484284,127.5037215,2021-06-09
아쉬레펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 326-50,경기도 가평군 가평읍 금대리 139-14번지,,4,,,,,,37.7561631,127.5370202,2021-06-09
남이섬ND209펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1091-10,경기도 가평군 가평읍 달전리 209-4번지,,6,,,,,,37.80963319,127.5228461,2021-06-09
드림,민박,내국인+외국인,없음,경기도 가평군 상면 깃대봉길 17-25,경기도 가평군 상면 덕현리 162-48번지,,4,,,,,,37.75546929,127.4009174,2021-06-09
가에펜션,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로 240,경기도 가평군 북면 백둔리 106-3번지,,3,,,,,,37.90225262,127.4804354,2021-06-09
가평001,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로650번길 56,경기도 가평군 북면 백둔리 709-10번지,,1,,,,,,37.91507322,127.4394188,2021-06-09
트라페지움,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로150번길 27-11,경기도 가평군 상면 행현리 427번지,,1,,,,,,37.76283726,127.3604781,2021-06-09
체리쉬,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2925,경기도 가평군 북면 적목리 84-6번지,,1,,,,,,37.98050204,127.446869,2021-06-09
팀더블유,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로1636번길 145,경기도 가평군 청평면 삼회리 426번지,,4,,,,,,37.67027987,127.3958487,2021-06-09
언덕위에 푸른집,민박,내국인+외국인,없음,경기도 가평군 상면 청우산2길 42-36,경기도 가평군 상면 덕현리 329-1번지,,3,,,,,,37.76738159,127.3971433,2021-06-09
모던224,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1073-154,경기도 가평군 북면 제령리 225-8번지,,5,,,,,,37.88636581,127.5417934,2021-06-09
엘로엘키즈풀빌라,민박,내국인+외국인,없음,경기도 가평군 가평읍 호반로 1515-33,경기도 가평군 가평읍 복장리 423번지,,2,,,,,,37.73357254,127.5032685,2021-06-09
아롬,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1007-32,경기도 가평군 가평읍 달전리 150-11번지,,5,,,,,,37.80302641,127.5234121,2021-06-09
바다,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로 1706-138,경기도 가평군 청평면 삼회리 362-4번지,,1,,,,,,37.67436722,127.3906153,2021-06-09
세네동펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1007-30,경기도 가평군 가평읍 달전리 150-9번지,,5,,,,,,37.80291822,127.5235597,2021-06-09
피에스,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 269-83,경기도 가평군 가평읍 두밀리 2-32번지,,5,,,,,,37.8148403,127.4665976,2021-06-09
유니온민박,민박,내국인+외국인,없음,경기도 가평군 청평면 청평역로 19,경기도 가평군 청평면 청평리 101번지,,4,,,,,,37.73361871,127.4217377,2021-06-09
별무리,민박,내국인+외국인,없음,경기도 가평군 조종면 연인산로 505-2,경기도 가평군 조종면 마일리 361-2번지,,4,,,,,,37.85066971,127.3755898,2021-06-09
모나코,민박,내국인+외국인,없음,경기도 가평군 상면 임초밤안골로 252,경기도 가평군 상면 행현리 591-2번지,,7,,,,,,37.75055653,127.3642018,2021-06-09
샘이플,민박,내국인+외국인,없음,경기도 가평군 가평읍 당목가일길 473-45,경기도 가평군 가평읍 개곡리 294번지,,2,,,,,,37.87329663,127.5625937,2021-06-09
르보아펜션,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로490번길 123,경기도 가평군 조종면 운악리 83-8번지,,4,,,,,,37.86318803,127.366542,2021-06-09
구름계곡민박,민박,내국인+외국인,없음,경기도 가평군 북면 제령아랫말길 71,경기도 가평군 북면 제령리 219-4번지,,7,,,,,,37.88746621,127.5394513,2021-06-09
산울로레져,민박,내국인+외국인,없음,경기도 가평군 설악면 미사리로 859-30,경기도 가평군 설악면 미사리 10-3번지,,5,,,,,,37.72344914,127.549781,2021-06-09
썬시티,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 269-25,경기도 가평군 가평읍 하색리 778-9번지,,5,,,,,,37.81489451,127.4670861,2021-06-09
꿈의 대화,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1138-59,경기도 가평군 북면 제령리 산14번지,,4,,,,,,37.8962986,127.540673,2021-06-09
240st.,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 240-7,경기도 가평군 청평면 상천리 641-1번지,,1,,,,,,37.78356046,127.4353244,2021-06-09
별마루 펜션,민박,내국인+외국인,없음,경기도 가평군 상면 깃대봉길 17-33,경기도 가평군 상면 덕현리 162-61번지,,1,,,,,,37.75501753,127.3996238,2021-06-09
힐하우스,민박,내국인+외국인,없음,경기도 가평군 상면 청군로 734,경기도 가평군 상면 임초리 452-8번지,,2,,,,,,37.77715285,127.3706144,2021-06-09
루비노펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 호반로 1515-34,경기도 가평군 가평읍 복장리 432번지,,6,,,,,,37.733879,127.5028713,2021-06-09
깊은산계곡산장,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 1359-15,경기도 가평군 북면 화악리 1072-4번지,,6,,,,,,37.97152552,127.5248204,2021-06-09
신비펜션 1,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 492-33,경기도 가평군 북면 적목리 322-9번지,,2,,,,,,37.96886317,127.4116292,2021-06-09
라플로레스타,민박,내국인+외국인,없음,경기도 가평군 가평읍 보납로 459-141,경기도 가평군 가평읍 개곡리 641-1번지,,2,,,,,,37.85624347,127.5433792,2021-06-09
운악스마일펜션,민박,내국인+외국인,없음,경기도 가평군 조종면 와곡길 47,경기도 가평군 조종면 운악리 465-5번지,,3,,,,,,37.8668208,127.3518803,2021-06-09
꽃가람,민박,내국인+외국인,없음,경기도 가평군 북면 카이저길 99,경기도 가평군 북면 이곡리 474-10번지,,2,,,,,,37.87905245,127.522515,2021-06-09
코지Ⅰ,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 38,경기도 가평군 설악면 가일리 278-2번지,,7,,,,,,37.59870461,127.4917529,2021-06-09
자연속풍경,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 965-13,경기도 가평군 북면 이곡리 4-6번지,,4,,,,,,37.8824434,127.5463967,2021-06-09
그리운 계곡 펜션,민박,내국인+외국인,없음,경기도 가평군 북면 싸리재길 38,경기도 가평군 북면 목동리 473번지,,5,,,,,,37.89659072,127.570905,2021-06-09
계곡풍경,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2389-38,경기도 가평군 북면 도대리 319-5번지,,5,,,,,,37.95276069,127.4758804,2021-06-09
금대민박,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 527,경기도 가평군 가평읍 금대리 306번지,,2,,,,,,37.77330698,127.5348599,2021-06-09
디제이 뭉,민박,내국인+외국인,없음,경기도 가평군 설악면 한갑골길 47-43,경기도 가평군 설악면 신천리 633번지,,4,,,,,,37.67244291,127.4838978,2021-06-09
솔내음 MT House,민박,내국인+외국인,없음,경기도 가평군 청평면 강변로 93-35,경기도 가평군 청평면 청평리 93-7번지,,2,,,,,,37.73275312,127.421262,2021-06-09
플로레스타,민박,내국인+외국인,없음,경기도 가평군 가평읍 보납로 459-145,경기도 가평군 가평읍 개곡리 641-3번지,,3,,,,,,37.85618007,127.5441977,2021-06-09
미루나무펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 214-26,경기도 가평군 설악면 가일리 126-2번지,,1,,,,,,37.59244007,127.5100815,2021-06-09
힐링펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 다락재로 80,경기도 가평군 설악면 회곡리 99-1번지,,5,,,,,,37.67342089,127.4637241,2021-06-09
리버웨이브4,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로 2141-2,경기도 가평군 청평면 삼회리 102-17번지,,2,,,,,,37.70657757,127.3967963,2021-06-09
Relieve(릴리브),민박,내국인+외국인,없음,경기도 가평군 상면 임초밤안골로 119-125,경기도 가평군 상면 임초리 143-3번지,,3,,,,,,37.75580897,127.378621,2021-06-09
아비엥또,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 58-3,경기도 가평군 청평면 호명리 176-1번지,,5,,,,,,37.72100195,127.4621691,2021-06-09
가평펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 694,경기도 가평군 북면 이곡리 554-8번지,,3,,,,,,37.87267123,127.5222971,2021-06-09
압구정민박,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 120,경기도 가평군 상면 행현리 332-1번지,,5,,,,,,37.767213,127.3641713,2021-06-09
그레이스2,민박,내국인+외국인,없음,경기도 가평군 가평읍 쇠내골길 65-11,경기도 가평군 가평읍 금대리 842-2번지,,2,,,,,,37.75059676,127.521375,2021-06-09
라무리조트 E,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2372-56,경기도 가평군 북면 도대리 324-42번지,,1,,,,,,37.95469901,127.4786116,2021-06-09
리버웨이브1,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로 2141,경기도 가평군 청평면 삼회리 102-3번지,,2,,,,,,37.7071548,127.3972266,2021-06-09
예담소,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 215,경기도 가평군 설악면 가일리 36번지,,2,,,,,,37.59152958,127.5114746,2021-06-09
아를르펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 당목가일길 482-29,경기도 가평군 가평읍 개곡리 214-1번지,,7,,,,,,37.87099711,127.5647748,2021-06-09
101 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 진동안길 101,경기도 가평군 가평읍 하색리 552번지,,2,,,,,,37.81419555,127.4887524,2021-06-09
장자터,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 79-76,경기도 가평군 설악면 가일리 230-1번지,,1,,,,,,37.59223277,127.4899979,2021-06-09
유명,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 214-7,경기도 가평군 설악면 가일리 16-1번지,,2,,,,,,37.59172797,127.5105005,2021-06-09
메이플렌드펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 행자골길 36-21,경기도 가평군 청평면 상천리 1217-20번지,,4,,,,,,37.76442419,127.4517243,2021-06-09
동해민박,민박,내국인+외국인,없음,경기도 가평군 청평면 청평역로 38-18,경기도 가평군 청평면 청평리 132-1번지,,5,,,,,,37.73321518,127.4249159,2021-06-09
율림동산,민박,내국인+외국인,없음,경기도 가평군 청평면 안대성길 21-42,경기도 가평군 청평면 대성리 360-5번지,,3,,,,,,37.69673452,127.3774809,2021-06-09
인터라켄,민박,내국인+외국인,없음,경기도 가평군 청평면 호반로 886,경기도 가평군 청평면 고성리 786-20번지,,7,,,,,,37.71061427,127.4819948,2021-06-09
산천가든민박,민박,내국인+외국인,없음,경기도 가평군 조종면 명지산로 327-47,경기도 가평군 조종면 상판리 445-1번지,,1,,,,,,37.90104773,127.3708301,2021-06-09
올인,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1037,경기도 가평군 가평읍 달전리 110-1번지,,7,,,,,,37.80512617,127.5249463,2021-06-09
민희네민박,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 364-1,경기도 가평군 북면 적목리 424번지,,1,,,,,,37.97005404,127.4264172,2021-06-09
AD646펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-72,경기도 가평군 가평읍 승안리 646-3번지,,1,,,,,,37.86178168,127.4699643,2021-06-09
제이몽애견펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 234,경기도 가평군 청평면 호명리 49-1번지,,3,,,,,,37.73392965,127.4714119,2021-06-09
가평풍차펜션,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 245,경기도 가평군 상면 행현리 513-21번지,,5,,,,,,37.75652003,127.3613868,2021-06-09
꽃향기는,민박,내국인+외국인,없음,경기도 가평군 조종면 명지산로 346,경기도 가평군 조종면 상판리 477-3번지,,3,,,,,,37.90216033,127.3745249,2021-06-09
예그리나2,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 153,경기도 가평군 청평면 호명리 106번지,,2,,,,,,37.72809698,127.4673289,2021-06-09
베이비유키즈풀빌라,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2372-58,경기도 가평군 북면 도대리 324-29번지,,1,,,,,,37.95460886,127.4784978,2021-06-09
동화 펜션 유원지,민박,내국인+외국인,없음,경기도 가평군 상면 청군로 607,경기도 가평군 상면 임초리 42-1번지,,5,,,,,,37.77145798,127.3805711,2021-06-09
더모스트,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 300-99,경기도 가평군 상면 행현리 691-9번지,,5,,,,,,37.75441254,127.3552265,2021-06-09
자연인촌,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로 1706-148,경기도 가평군 청평면 삼회리 363-5번지,,2,,,,,,37.67457387,127.3899119,2021-06-09
모원당,민박,내국인+외국인,없음,경기도 가평군 조종면 연인산로 505-31,경기도 가평군 조종면 마일리 393-1번지,,1,,,,,,37.84932599,127.374876,2021-06-09
리오나,민박,내국인+외국인,없음,경기도 가평군 조종면 와곡길 175,경기도 가평군 조종면 운악리 278-7번지,,4,,,,,,37.8718629,127.3549174,2021-06-09
로로포레,민박,내국인+외국인,없음,경기도 가평군 북면 화악지암길 212-82,경기도 가평군 북면 화악리 100번지 A동,,3,,,,,,37.94247066,127.5792913,2021-06-09
에델바이스 스위트,민박,내국인+외국인,없음,경기도 가평군 설악면 다락재로 226-57,경기도 가평군 설악면 이천리 306-3번지,,2,,,,,,37.66754685,127.4470362,2021-06-09
더모스트,민박,내국인+외국인,없음,경기도 가평군 청평면 호반로 474,경기도 가평군 청평면 호명리 291-8번지,,5,,,,,,37.71041766,127.4547092,2021-06-09
가평해피하우스,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 66-20,경기도 가평군 북면 목동리 746-21번지,,4,,,,,,37.89049802,127.5536122,2021-06-09
계곡속의 바위집,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 1359-13,경기도 가평군 북면 화악리 1072-1번지,,5,,,,,,37.97129118,127.5248658,2021-06-09
녹천농원,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로333번길 55-19,경기도 가평군 조종면 신상리 296-1번지,,4,,,,,,37.845789,127.3485694,2021-06-09
곰들산장,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로386번길 47-24,경기도 가평군 상면 행현리 632번지,,4,,,,,,37.74542829,127.3496141,2021-06-09
라구나 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로596번길 78-16,경기도 가평군 가평읍 두밀리 593번지,,3,,,,,,37.81189551,127.4309484,2021-06-09
햇빛여행펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-63,경기도 가평군 가평읍 승안리 646-18번지,,6,,,,,,37.86132211,127.4703737,2021-06-09
풍경마루민박,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1476-16,경기도 가평군 북면 제령리 616번지,,6,,,,,,37.89673798,127.5080642,2021-06-09
개울가펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 722,경기도 가평군 북면 이곡리 543번지,,3,,,,,,37.87460863,127.5243898,2021-06-09
빌라두라끄,민박,내국인+외국인,없음,경기도 가평군 설악면 자잠로 281,경기도 가평군 설악면 사룡리 184-9번지,,2,,,,,,37.69842913,127.4895753,2021-06-09
시즈닝,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-50,경기도 가평군 가평읍 승안리 641번지,,1,,,,,,37.86155669,127.4713286,2021-06-09
남이섬앤디펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 동연재로 16-8,경기도 가평군 가평읍 달전리 208-1번지,,5,,,,,,37.80954308,127.5227325,2021-06-09
펜션 숲,민박,내국인+외국인,없음,경기도 가평군 가평읍 문화로 291-83,경기도 가평군 가평읍 읍내리 817번지,,2,,,,,,37.83652169,127.5019434,2021-06-09
67빌리지,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2159-59,경기도 가평군 북면 도대리 284-16번지,,1,,,,,,37.94182965,127.4865934,2021-06-09
알사도,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 70-1,경기도 가평군 설악면 가일리 271-9번지,,7,,,,,,37.59599143,127.4903259,2021-06-09
루엔 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 불기산길 80-1,경기도 가평군 가평읍 상색리 478-9번지,,3,,,,,,37.80116896,127.4731808,2021-06-09
에어타임,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 1714-12,경기도 가평군 설악면 선촌리 473-4번지,,3,,,,,,37.67777823,127.4799388,2021-06-09
리프레쉬,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 412-1,경기도 가평군 가평읍 두밀리 28-6번지,,2,,,,,,37.81661297,127.4575189,2021-06-09
방주민박,민박,내국인+외국인,없음,경기도 가평군 청평면 강변로 87,경기도 가평군 청평면 청평리 92-19번지,,4,,,,,,37.73247412,127.4218865,2021-06-09
늘푸른산장,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 1321-68,경기도 가평군 설악면 천안리 361번지,,4,,,,,,37.65151242,127.4760575,2021-06-09
베이비 엔젤스파 펜션,민박,내국인+외국인,없음,경기도 가평군 상면 깃대봉길 17-35,경기도 가평군 상면 덕현리 162-55번지,,6,,,,,,37.75525193,127.3996803,2021-06-09
하루가평펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 475,경기도 가평군 가평읍 두밀리 191-5번지,,3,,,,,,37.81475373,127.4510099,2021-06-09
우리집펜션유원지,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 19-16,경기도 가평군 북면 도대리 528번지,,2,,,,,,37.96782519,127.4576027,2021-06-09
커피마마 게스트하우스,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1146-1,경기도 가평군 가평읍 달전리 323-6번지,,1,,,,,,37.81261727,127.5188252,2021-06-09
힐링스토리 펜션,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 381,경기도 가평군 상면 행현리 661-2번지,,7,,,,,,37.74787651,127.3540928,2021-06-09
대성리유스캠프,민박,내국인+외국인,없음,경기도 가평군 청평면 경춘로 31-80,경기도 가평군 청평면 대성리 633-1번지,,1,,,,,,37.67963391,127.375343,2021-06-09
영심이네민박,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 1087-55,경기도 가평군 북면 화악리 915-1번지,,2,,,,,,37.94929717,127.5343283,2021-06-09
KFME컨벤션펜션,민박,내국인+외국인,없음,경기도 가평군 조종면 연인산로474번길 47-66,경기도 가평군 조종면 마일리 300-6번지,,1,,,,,,37.84691866,127.3828364,2021-06-09
탑클라우드,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로 510-111,경기도 가평군 북면 백둔리 450-17번지,,5,,,,,,37.90827534,127.4549295,2021-06-09
티펜션,민박,내국인+외국인,없음,경기도 가평군 상면 깃대봉길 17-40,경기도 가평군 상면 덕현리 162-52번지,,2,,,,,,37.75605442,127.4000425,2021-06-09
유명산시그니처펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 214-26,경기도 가평군 설악면 가일리 126-2번지,,4,,,,,,37.59244007,127.5100815,2021-06-09
섬섬하우스,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1132,경기도 가평군 가평읍 달전리 311-1번지,,5,,,,,,37.81174283,127.5197907,2021-06-09
산책,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 943-36,경기도 가평군 북면 화악리 754-4번지,,4,,,,,,37.93696543,127.5405474,2021-06-09
사랑방,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 87-15,경기도 가평군 북면 제령리 545-2번지,,3,,,,,,37.8979079,127.5219748,2021-06-09
벨라비스타,민박,내국인+외국인,없음,경기도 가평군 조종면 연인산로474번길 47-66,경기도 가평군 조종면 마일리 300-6번지,,1,,,,,,37.84691866,127.3828364,2021-06-09
운악에코빌,민박,내국인+외국인,없음,경기도 가평군 조종면 현등사길 55-331,경기도 가평군 조종면 운악리 418-71번지,,2,,,,,,37.85975405,127.3445165,2021-06-09
사랑그리기,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1144-299,경기도 가평군 북면 제령리 69번지,,3,,,,,,37.90031924,127.5382411,2021-06-09
그라티아펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 421-22,"경기도 가평군 가평읍 두밀리 40번지 (A,B동)",,2,,,,,,37.81522417,127.4554292,2021-06-09
늘솔길펜션,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로 21-127,경기도 가평군 북면 제령리 647-1번지,,5,,,,,,37.8984327,127.5013649,2021-06-09
레드썸,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로406번길 127-88 1동,경기도 가평군 가평읍 두밀리 144-11번지 1동,,1,,,,,,37.82206203,127.4477895,2021-06-09
가평수키즈펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2372-66,경기도 가평군 북면 도대리 324-27번지,,1,,,,,,37.9548071,127.4782587,2021-06-09
초록별펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 269-106,경기도 가평군 가평읍 하색리 778-30번지,,2,,,,,,37.81498473,127.4673815,2021-06-09
사랑만들기,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1144-321,경기도 가평군 북면 제령리 92-2번지,,2,,,,,,37.89971544,127.5380019,2021-06-09
송산블루엘,민박,내국인+외국인,없음,경기도 가평군 설악면 미사리로 324-96,경기도 가평군 설악면 송산리 179-3번지,,1,,,,,,37.68522954,127.5324596,2021-06-09
화이,민박,내국인+외국인,없음,경기도 가평군 상면 축령로 276-16,경기도 가평군 상면 행현리 909-6번지,,2,,,,,,37.77422818,127.3446163,2021-06-09
다솜펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1345,경기도 가평군 북면 제령리 569-3번지,,5,,,,,,37.90106296,127.5192004,2021-06-09
까사스위스,민박,내국인+외국인,없음,경기도 가평군 설악면 다락재로 217-2,경기도 가평군 설악면 이천리 249-2번지,,1,,,,,,37.66617897,127.4520942,2021-06-09
나들목,민박,내국인+외국인,없음,경기도 가평군 북면 카이저길 75-11,경기도 가평군 북면 이곡리 456-6번지,,1,,,,,,37.87943051,127.5249714,2021-06-09
숲향,민박,내국인+외국인,없음,경기도 가평군 청평면 상천고갯길 149-9,경기도 가평군 청평면 상천리 126-1번지,,3,,,,,,37.79018918,127.466586,2021-06-09
라고스테마,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1462-7,경기도 가평군 북면 제령리 617-8번지,,6,,,,,,37.89661171,127.5092243,2021-06-09
